#{"t_start": 1718461803.0062377, "env_id": "None"}
r,l,t
11.0,11,4.266788
9.0,9,4.275951
8.0,8,4.277055
10.0,10,4.28074
11.0,11,4.282948
11.0,11,4.291956
8.0,8,4.292025
10.0,10,4.298197
11.0,11,4.298268
10.0,10,4.307348
10.0,10,4.308947
11.0,11,4.312654
10.0,10,4.318445
10.0,10,4.318513
8.0,8,4.323395
10.0,10,4.329336
10.0,10,4.330195
9.0,9,4.33934
9.0,9,4.33941
9.0,9,4.340212
9.0,9,4.349157
10.0,10,4.349227
8.0,8,4.357749
9.0,9,4.358649
8.0,8,4.358712
8.0,8,4.369056
10.0,10,4.373512
10.0,10,4.375096
10.0,10,4.378849
10.0,10,4.378918
10.0,10,4.389466
9.0,9,4.390326
9.0,9,4.395616
10.0,10,4.395685
9.0,9,4.395714
9.0,9,4.405867
10.0,10,4.41033
9.0,9,4.41589
10.0,10,4.416745
11.0,11,4.420477
8.0,8,4.426235
11.0,11,4.431016
8.0,8,4.43586
10.0,10,4.43592
10.0,10,4.436703
10.0,10,4.447005
8.0,8,4.453927
11.0,11,4.453997
9.0,9,4.455533
11.0,11,4.460581
10.0,10,4.46994
10.0,10,4.471573
10.0,10,4.471637
8.0,8,4.476357
10.0,10,4.480073
10.0,10,4.487321
8.0,8,4.488224
9.0,9,4.488287
10.0,10,4.496016
10.0,10,4.49665
9.0,9,4.503095
9.0,9,4.511225
9.0,9,4.511295
12.0,12,4.51723
10.0,10,4.5173
9.0,9,4.526747
9.0,9,4.527607
10.0,10,4.528446
9.0,9,4.533654
10.0,10,4.53833
10.0,10,4.54361
10.0,10,4.544434
9.0,9,4.544497
8.0,8,4.55523
12.0,12,4.561902
8.0,8,4.562803
9.0,9,4.562866
9.0,9,4.570655
9.0,9,4.572233
8.0,8,4.578797
9.0,9,4.582528
10.0,10,4.582597
10.0,10,4.588108
11.0,11,4.592914
11.0,11,4.599486
11.0,11,4.604814
11.0,11,4.604894
9.0,9,4.604939
10.0,10,4.610192
11.0,11,4.625041
10.0,10,4.625111
12.0,12,4.626687
12.0,12,4.62675
10.0,10,4.635361
9.0,9,4.642023
10.0,10,4.642874
9.0,9,4.646639
9.0,9,4.646708
8.0,8,4.651891
10.0,10,4.665236
9.0,9,4.665698
10.0,10,4.665737
9.0,9,4.670933
10.0,10,4.671
9.0,9,4.682067
10.0,10,4.682137
9.0,9,4.686777
10.0,10,4.686826
12.0,12,4.6918
8.0,8,4.702345
9.0,9,4.706281
10.0,10,4.70715
12.0,12,4.707994
10.0,10,4.716333
9.0,9,4.718559
10.0,10,4.724288
11.0,11,4.724358
10.0,10,4.732246
10.0,10,4.73387
9.0,9,4.738312
9.0,9,4.744058
9.0,9,4.749282
10.0,10,4.749352
9.0,9,4.750871
10.0,10,4.755935
8.0,8,4.768118
8.0,8,4.768188
10.0,10,4.769022
9.0,9,4.773456
11.0,11,4.783245
9.0,9,4.7841
11.0,11,4.788531
11.0,11,4.7894
14.0,14,4.800021
9.0,9,4.800077
8.0,8,4.800112
9.0,9,4.804796
9.0,9,4.809675
9.0,9,4.816226
12.0,12,4.82146
12.0,12,4.821528
9.0,9,4.82633
10.0,10,4.826397
10.0,10,4.836397
9.0,9,4.838024
9.0,9,4.83809
9.0,9,4.845852
9.0,9,4.845924
10.0,10,4.853317
10.0,10,4.861308
10.0,10,4.86224
10.0,10,4.862301
11.0,11,4.862329
8.0,8,4.877916
9.0,9,4.882716
9.0,9,4.883462
11.0,11,4.887964
11.0,11,4.888033
9.0,9,4.89769
9.0,9,4.899881
10.0,10,4.904305
10.0,10,4.910159
11.0,11,4.91392
9.0,9,4.914765
9.0,9,4.919956
9.0,9,4.925675
8.0,8,4.926522
9.0,9,4.931003
9.0,9,4.931853
8.0,8,4.940637
9.0,9,4.942564
9.0,9,4.946167
11.0,11,4.951964
10.0,10,4.952033
10.0,10,4.957797
10.0,10,4.962991
10.0,10,4.963843
9.0,9,4.977189
11.0,11,4.978765
11.0,11,4.982809
10.0,10,4.984284
12.0,12,4.993808
10.0,10,4.994662
9.0,9,4.998368
9.0,9,4.999939
10.0,10,5.009449
9.0,9,5.011015
9.0,9,5.014735
10.0,10,5.016304
9.0,9,5.021412
9.0,9,5.02659
10.0,10,5.032537
8.0,8,5.033469
10.0,10,5.033551
9.0,9,5.042727
10.0,10,5.048649
8.0,8,5.050257
10.0,10,5.054985
10.0,10,5.058634
11.0,11,5.060816
10.0,10,5.06597
9.0,9,5.071048
10.0,10,5.076135
10.0,10,5.081097
10.0,10,5.086298
9.0,9,5.092003
9.0,9,5.095729
8.0,8,5.096568
9.0,9,5.098158
10.0,10,5.108094
9.0,9,5.111836
9.0,9,5.112689
9.0,9,5.113536
9.0,9,5.122273
10.0,10,5.128733
10.0,10,5.129653
9.0,9,5.12972
10.0,10,5.138418
9.0,9,5.139286
10.0,10,5.146666
10.0,10,5.150374
10.0,10,5.150443
9.0,9,5.156372
10.0,10,5.156437
9.0,9,5.166432
9.0,9,5.171597
9.0,9,5.171665
8.0,8,5.172458
9.0,9,5.173309
9.0,9,5.192047
10.0,10,5.193752
10.0,10,5.193823
9.0,9,5.19385
11.0,11,5.202896
8.0,8,5.209362
10.0,10,5.209433
9.0,9,5.213097
10.0,10,5.217844
9.0,9,5.219331
